,Title,Type,Description,Level,Duration,Rating,Review Count,Skills Covered,Prerequisites,Affiliates,URL
50,AI for Healthcare,nanodegree,Be at the forefront of the AI revolution in healthcare and transform patient outcomes by enabling enhanced medical decision-making powered by machine learning.,advanced,4 Months,4.6,145.0,"Artificial Intelligence, 2D Medical Imaging, 3D Medical Imaging, Electronic Health Record Data, Deep Learning, Wearable Device Data, Supervised Learning","Intermediate Python, and Experience with Machine Learning",none,https://www.udacity.com/course/ai-for-healthcare-nanodegree--nd320
51,iOS Developer,nanodegree,"Master the Swift programming language, and create a portfolio of iOS apps for iPhone and iPad to showcase your skills!",beginner,6 Months,4.6,897.0,"Swift programming, Core Data, UIKit, iOS networking, app publishing, User interfaces, Local Persistence, APIs",No prior knowledge required,none,https://www.udacity.com/course/ios-developer-nanodegree--nd003
52,Flying Car and Autonomous Flight Engineer,nanodegree,"Master job-ready autonomous flight software engineering skills as you tackle advanced challenges, write real code for real aircraft, and develop a systems understanding of the Flying Car full-stack.",advanced,6 Months,4.6,254.0,"3D Motion Planning, Controls, Estimation, Kalman Filters",Mathematics & Programming,none,https://www.udacity.com/course/flying-car-nanodegree--nd787
53,Artificial Intelligence,nanodegree,"Learn essential Artificial Intelligence concepts from AI experts like Peter Norvig and Sebastian Thrun, including search, optimization, planning, pattern recognition, and more.",advanced,3 Months,4.5,355.0,"Constraint Propagation,  AI Algorithms,  Constraint Satisfaction Problems,  Backtracking Search,  Optimization Algorithms,  Search Algorithms,  Minimax Search,  Bayesian networks,  Planning,  Pattern Recognition,  Time-Series Analysis with ML","Algebra, Calculus, Statistics, & Python",none,https://www.udacity.com/course/ai-artificial-intelligence-nanodegree--nd898
54,Digital Project Management,nanodegree,"Build confidence translating business requirements into project scope statements, creating project plans, and developing a high-performing team.
",beginner,1 Month,4.63,715.0,"Waterfall project management,  Strategic communication plans,  Requirements gathering,  Project scoping,  Project execution,  Gantt charts,  Agile frameworks,  Stakeholder analysis,  SMART goals,  Team development,  Cost-benefit analysis",Professional fluency in English,none,https://www.udacity.com/course/digital-project-management-nanodegree--nd043
55,Cloud Native Application Architecture,nanodegree,"Learn to run and manage scalable applications in a cloud native environment using open source tools and projects like ArgoCD, gRPC, and Grafana.",intermediate,4 Months,4.7,151.0,"Microservice architecture,  Kubernetes,  Continuous Integration,  Continuous Delivery,  Message Passing,  Observability,  Microservices security","HTTP, Python, Git, Linux, Docker",SUSE,https://www.udacity.com/course/cloud-native-application-architecture-nanodegree--nd064
56,Data Visualization,nanodegree,"Combine data, visuals, and narrative to tell impactful stories and make data-driven decisions.",beginner,4 Months,4.6,206.0,"Data Visualization, Tableau, Dashboards, Data Storytelling",Basic Data Analysis,none,https://www.udacity.com/course/data-visualization-nanodegree--nd197
57,Marketing Analytics,nanodegree,"Learn to collect and analyze data, model marketing scenarios, and communicate your findings with Excel, Tableau, Google Analytics, and Data Studios.",beginner,3 Months,4.6,359.0,"Google Analytics, Excel & Spreadsheets, Data Visualization, Customer Segmentation",No Prerequisites,none,https://www.udacity.com/course/marketing-analytics-nanodegree--nd028
58,Cloud Architect using Microsoft Azure,nanodegree,"Meet the growing demand for Azure cloud architects and learn the skills to translate business requirements into technical specifications for reliable, scalable, and secure cloud infrastructure using Microsoft Azure.",advanced,3 Months,4.8,94.0,"Azure Security Center,  Azure Resource Manager,  Azure Pricing Calculator,  Azure Key Vault,  Azure Defender,  Cloud Cost Policies,  Cloud Cost Evaluation,  Automated Cloud Cost Optimization,  Privileged Identity Management,  Identity and Access Management Fundamentals,  Disaster Recovery Plans","Experience with cloud computing, programming and Microsoft Azure",Microsoft,https://www.udacity.com/course/cloud-architect-using-microsoft-azure-nanodegree--nd090
59,Ethical Hacker,nanodegree,"Learn how to find and exploit vulnerabilities, design and execute penetration testing plans, and report on test findings.",advanced,2 Months,4.35,715.0,"Vulnerability Management,  Penetration Testing,  Reconnaissance,  Social Engineering,  Open-source intelligence,  System and Application Auditing","Linux, Networking, Programming and Window OS",none,https://www.udacity.com/course/ethical-hacker-nanodegree--nd350
